,url,title,date and description
0,https://www.crma.org/exhibitions/current/across-the-atlantic-american-impressionism-through-the-french-lens,Across the Atlantic: American Impressionism through the French Lens,"Now-Sunday, August 30This extraordinary exhibition, drawn entirely from the rich collection of the Reading Public Museum, explores the path to Impressionism through the nineteenth century and the complex relationship between French Impressionism of the 1870s and 1880s and the American interpretation of the style in the decades that followed. More than seventy-five paintings and works on paper help tell the story of the new style of painting which developed at the end of the nineteenth century—one that emphasized light and atmospheric conditions, rapid or loose brushstrokes, and a focus on brightly colored scenes from everyday life.Some of the artists featured in the exhibition include Edgar Degas and Mary Cassatt, who exhibited in the official Impressionist exhibitions in Paris in the 1870s and 1880s. Among the earliest American artists to embrace the style were John Singer Sargent, William Merritt Chase, John Henry Twachtman, Childe Hassam, and Frank W. Benson. A host of American artists who embraced the style by the turn of the century including Robert Lewis Reid, William Paxton, Chauncey Ryder, and Guy Wiggins, are highlighted in the exhibition.Across the Atlantic: American Impressionism through the French Lens is organized by the Reading Public Museum, Reading, Pennsylvania.  Local support for this exhibition and accompanying educational programming has been provided by The McIntyre Foundation, UFG Insurance, and the Lil’ Drug Store Products, Inc. Corporate Donor-Advised Fund of the Greater Cedar Rapids Community Foundation.  Educational programming for Across the Atlantic has been supported in part by the Marvin Cone Art Club.  Additional annual support has been provided by the Hotel-Motel Tax Fund, the Iowa Arts Council, a division of the Iowa Department of Cultural Affairs and the National Endowment for the Arts, the Program Grant Fund of the Greater Cedar Rapids Community Foundation, members of the Cedar Rapids Museum of Art, and contributors to the Museum’s Annual Fund.  "
1,https://www.crma.org/exhibitions/current/beyond-the-prairie,Beyond the Prairie: Midwestern Art from the Collection,"Ongoing with periodic changesBookended by the galleries dedicated to Grant Wood and Marvin Cone, Beyond the Prairie: Midwestern Art from the Collection showcases the work of artists inspired by life in Iowa and surrounding states. Longtime museum favorites share gallery space with contemporary artworks, highlighting the great diversity and creativity present in the CRMA collection and the Midwest."
2,https://www.crma.org/exhibitions/current/marvin-cone-american-vision,Marvin Cone: An American Vision,"OngoingA lifelong Cedar Rapidian, Marvin Cone’s art evolved throughout his career to encompass evocative portraits, birds-eye views of the Iowa landscape, and subtly-colored abstractions. Marvin Cone: An American Vision is an ongoing single-gallery exhibition that serves as an introductory overview of Cone’s lengthy and prolific artistic career. "
3,https://www.crma.org/exhibitions/current/mauricio-lasansky-master-printmaker,Mauricio Lasansky: Master Printmaker,"Ongoing with periodic changesThe Museum is fortunate to be able to dedicate four galleries to the work of consummate printmaker, Mauricio Lasansky. Making prints for more than 65 years--first in his native Argentina, then in New York City, and for more than 55 years in Iowa City, Iowa--Lasansky's generous gift of prints in the 1980s and 1990s made it possible for the Museum to present a wide range of the artist's works, changing all four galleries every six months. Best known for large-scale prints in which he uses multiple plates and full ranges of color, Lasansky combines a spectrum of graphic techniques including etching, drypoint, aquatint, and engraving. Throughout his stylistic evolution, he created eloquent figural statements that are colorful, fresh, and spontaneous. "
4,https://www.crma.org/exhibitions/current/art-in-roman-life,Art in Roman Life,"OngoingAn exhibition of more than 50 works, including 21 Roman portrait busts donated to the CRMA by Tom and Nan Riley in 1996, this installation is a condensed version of the CRMA’s immensely popular Art in Roman Life: Villa to Grave exhibition. From coins to glass vessels to ceramic lamps to marble sculptures, this exhibition reveals more than 600 years of artistic production, which comprised daily life in Rome from the 1st century B.C. through the fall of the Roman Empire."
5,https://www.crma.org/exhibitions/current/Grant-Wood-From-Farm-Boy-to-American-Icon,Grant Wood: From Farm Boy to American Icon,"Ongoing Grant Wood: From Farm Boy to American Icon offers an expansive look at Wood’s life and career though his art. Housed in one of our largest first-floor galleries, this installation reflects the depth of the CRMA’s Grant Wood collection as well as the great breadth of Woods’ career, cut tragically short by his death in 1942. "
6,https://www.crma.org/exhibitions/upcoming/mary-zeran-10-years,Mary Zeran: 10 Years,"August 29– January 3, 2021In 2020, local artist Mary Zeran will have been working as a profession artist for 10 years. Given the CRMA’s rich history of presenting the art of local artists—especially when they’ve achieved a certain milestone or completed a specific new body of work—the idea of displaying a 10-year retrospective of Zeran’s work during the CRMA’s 125th anniversary year seems fitting. One of the very few local artists to have spent her entire painting career working abstractly, Zeran’s work will challenge viewers to see her subtle but significant evolution over the course of the past 10 years. Constantly exploring, Zeran has crafted different methods of mark-making to accompany her evolution in palette and scale. The exhibition will not only trace the trajectory of her career, it will also include a site-specific installation created especially for this exhibition."
7,https://www.crma.org/exhibitions/upcoming/125-125-Masterworks-from-the-collection,125!: 125 Masterworks from the Collection,"May 16 – September 13, 2020

Continuing the celebration of the 125th anniversary of the CRMA, this exhibition looks at 125 masterpieces drawn from our own collection.  Works which normally do not hang together because of their diverse subjects or styles will coexist in an exuberant display of the CRMA’s treasures. Pieces by Grant Wood and Marvin Cone are joined by those of important early African-American artist Henry Ossawa Tanner and American Impressionist Carl Frieseke.  Roman treasures will be on view alongside modern and contemporary masterworks.  A true celebration of the depth and breadth of the collection, as well as a celebration of the community which made this collection possible"
8,https://www.crma.org/exhibitions/upcoming/the-unknown-grant-wood-rarely-seen-works-by-an-american-master,The Unknown Grant Wood: Rarely Seen Works by an American Master,"February 13, 2121-May 16, 2121Rounding out our anniversary year will be an unusual look at arguably Iowa’s most important artist, Grant Wood. While known for his iconic American Gothic (Art Institute of Chicago) and other Regionalist works from his mature style, Grant Wood was constantly exploring styles, techniques, and media. This exhibition will bring together works from both the CRMA collection as well as from private collections to celebrate Wood’s inquisitive mind. Rarely seen paintings will be joined with diverse metalwork pieces, drawings, and studies to construct a fuller view of Wood’s genius."
9,https://www.crma.org/exhibitions/upcoming/seriously-funny-american-gothic-parodies,Seriously Funny: American Gothic Paradies,"January 16, 2121-May 2, 2121Grant Wood’s American Gothic is probably the world’s most parodied American painting, second only to Leonardo’s Mona Lisa. The fact that thousands of parodies of American Gothic exist, dating back several decades, speaks to the enduring inspiration of one of America’s greatest works of art. This exhibition—a first for the Cedar Rapids Museum of Art—will look at many of these parodies—some in the flesh on the gallery’s walls and many others digitally projected in an attempt to share the incredible reach of this iconic painting. From Bill and Hillary Clinton to Leonardo and Mona Lisa to RuPaul as male and female, these parodies speak to how this one painting serves as the basis for looking at various contemporary people and issues. Wood’s impactful 1930 painting continues to inspire “artists” of all ages and skills in a playful and humorous way that Wood would no doubt have applauded."
